,assessmentScore,code,comments,goalClearnessScore,importanceScore,name,percentPassed,points,registered,satisfactionScore,teachingScore,workloadScore,year
10,+26,ETS075,"Studierådets kommentarerKursen kändes något förvirrande i början då övningar och föreläsningar inte helt hängde ihop. Formelsamlingen var något avskräckande, men när man förstod att bara en bråkdel skulle användas blev man lite lugnare. Tentan kändes överkomlig, men boken täckte mycket mer än kursens innehåll. Bra att få en tillämpning på sin matematiska statistik.Kurslärarens kommentererEnligt årets CEQ utvärdering fungerarade kursen sämre i år än förra året, trots att vi åtgärdat Laboration 1 (för att minska upplevd stress). Detta är lite förbryllande, och diskuterades vid CEQ mötet. Min tolkning är att tydligheten nästa år måste öka i kursen, dels gentemot praktiska tillämpningar och dels gentemot de kurser som har naturliga kopplingar till denna kurs. Den inledande veckan, som till stor del är en repetition av sannolikheter och medelvärden, bör även innehålla mer kursspecifikt material.Programledarens kommentarerPoängen för angelägenhet för utbildningen var tydligt lägre jämfört med föregående år. Orsaken till detta diskuterades och läraren ska arbeta med att ge tydligare kopplingar till verkliga problemställningar. Även kopplingar till andra kurser kan göras tydligare.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+15,+14,Kösystem,85%,4.5,33,+4,-13,+19,11/12
11,+44,ETSA01,"KommentarerStudierådets kommentarerProjektet uppfattades som lärorikt, dock så upplevdes instruktionerna för det som oklara.Arbetsbördan upplevdes som väldigt hög för en 5-poängskurs, med både projekt och hemtenta. Fokuset skulle kunna ges mer till projektet.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerDen upplevda angelägenheten för utbildningen är fortsatt hög, vilket är glädjande. Dock var nöjdheten tydligt lägre än tidigigare förra året. Anledningen till detta diskuterades under mötet, tillsammans med förslag på hur kursen kan förbättras.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-28,+47,Ingenjörsprocessen för programvaruutveckling - metodik,92%,5.0,38,+7,+4,-36,11/12
12,+36,ETSA05,"Studierådets kommentarerVissa föreläsningsslides var otydliga i bilderna, svart text på mörk bakgrund. Föreläsaren har mycket att vinna på att använda mikrofonen i föreläsningssalen E:A.Det var mycket bra gästföreläsare.Kurslärarens kommentererÖverlag tycker studenterna inte att kursen är relevant för deras utbildning. En möjlig orsak till detta kan vara att kursen behandlar samhällsaspekter, vilket ligger utanför många studenters primära intresse. För att bidra till att studenterna ser relevansen bör vi vara tydligare med att klargöra kunskapsmål, färdighetsmål och attitydmål för kursen. Vidare, fler exempel från verkliga livet kanske kan bidra till att de ser relevansen.En kritik gällande undervisning var att jag var för beroende av föreläsnings-slidesen och att det borde vara mer diskussioner på föreläsningarna. Inför nästa år ska jag se över hur vi kan introducera mer diskussioner på föreläsningarna och försöka hitta en bra balans för att använda föreläsnings-slidesen mer som ett stöd till innehållet på föreläsningen.Programledarens kommentarerAngelägenheten för utbildningen fick än en gång ganska låga poäng. På mötet diskuterades hur man kan öka denna poäng. Kursen tar upp en hel del viktiga aspekter som en civilingenjör ska känna till, och det är viktigt att tydliggöra detta för studenterna. Tyvärr var det inga studenter närvarande på mötet trots att det fanns fyra kursombud.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-9,+13,Ingenjörsprocessen för programvaruutveckling - samhällsaspekter,98%,4.0,40,0,-13,+31,11/12
13,-28,ETSF01,"Studierådets kommentarerSkönt att föreläsaren tog tag i problemen som fanns sedan förra året. Tråkigt att så få gick på föreläsningarna, men de kändes inte tillräckligt relevanta.Projektet var välkommet, och kändes relevant. Har potential att bli något bra. Kändes genomtänkt.Tentan var väldigt enkel om man pluggat till den. Det krävdes egentligen bara att man tog med sig boken för att klara den.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen får en ganska låg poäng för nöjdhet, men det har blivit markant bättre sedan förra året, både vad gäller nöjdhet och angelägenhet för utbildningen. Projektet verkar ha förbättrats sedan tidigare år. Samtidigt är det tydligt att det fortfarande finns utrymme för förbättringar.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",-32,+20,Ingenjörsprocessen för programvaruutveckling - ekonomi och kvalitet,100%,4.0,37,-29,-31,+25,11/12
14,+13,MAM061,Studierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen gavs för sista gången i år på grund av en omarbetning av kurskedjan i människa-teknik.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+15,+84,Människa - datorinteraktion,98%,7.5,49,+59,+38,+32,11/12
15,+58,EDA061,"KommentarerStudierådets kommentarerMånga upplevde arbetsbelastningen på kursen var för hög.Projekten var inspirerade och lärorika, men att det var olämpligt att de överlappade varandra.Kurslärarens kommentererEnligt enkäten och kursombuden har arbetsbelastningen varit för hög. De tidsuppgifter för projekten jag fått i samband med projketredovisningarna visar också att projekten tagit signifikant mer tid i år än förra året trots att projekten varit desamma. Eftersom kursenkäten HT 2010 inte gav skäl att minska arbetsbelastning föreslås att man väntar ett år med att vidtaga någon åtgärd.Programledarens kommentarerKursen upplevs som angelägen för utbildningen. Arbetsbelastningen upplevdes markant högre än tidigare år och det verkar också som att mängden arbete som studenterna faktiskt lade ner på kursen var mer än tidigare år. Det är oklart vad detta beror på då det inte har gjorts några förändringar inför detta år som bör påverka arbetsmängden.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+8,+52,Objektorienterad modellering och design,74%,4.5,43,+16,-11,-38,12/13
16,+18,EITF05,"Studierådets kommentarerKursen var väldigt bra och rolig. Det faktum att man fick välja själv vilket projekt man skulle göra var utmärkt. Även förläsningsanteckningarna samt checklistan hjälpte väldigt mycket att plugga inför tentan.Kurslärarens kommentererStudenterna upplever kursen som mycket angelägen för utbildningen, vilket är glädjande. Kursen har modifierats lite jämfört med tidigare år, men det verkar inte ha gett något utslag i utvärderingen. Jag tror att förändringarna har varit positiva och det finns inget som tyder på motsatsen. Någon tyckte att det var mycket jobb med kursen, medan andra tyckte arbetsbelastningen var lagom. En förbättring inför nästa år är att projektet ska tydliggöras lite bättre på föreläsningarna. Jag ska också se om vi kan erbjuda hjälp med projektet under övningstiderna. Några studenter verkar efterlysa det.Programledarens kommentarerDet är glädjande att notera att kursen bedöms ha mycket hög relevans för utbildningen. Kursen har fungerat bra. Vid CEQ-mötet ventilerades några  förbättringsförslag, och kursläraren har tagit intryck av de synpunkter och kommentarer som framfördes.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+49,+86,Webbsäkerhet,75%,4.0,59,+70,+40,+34,12/13
17,+46,ETT051,"KommentarerStudierådets kommentarerStudenterna är nöjda med laborationerna som ger en djupare förståelse än det som sägs på föreläsningarna. Genomgångarna på övningarna är bra och ger en bra grund för uppgifterna. De första två veckorna är det många nya begrepps som föreläsaren går igenom och ett formelblad skulle hjälpa att reda ut dessa begrepp.  Studenterna är överlag nöjda med kursen men en del känner att den inte är relevant för utbildningen, om man inte väljer kommunikationssystem som inriktning. Vi diskuterar om det skulle vara möjligt att i de två första veckorna mer relatera till faktiska användningsområden.Kurslärarens kommentererÖverlag verkar årets kurs ha gått relativt bra, och i paritet med tidigare år. På CEQ-mötet framfördes bl.a. önskemål om att göra de två första veckorna tydligare eftersom så många nya begrepp, beteckningar och samband introduceras. Jag ska försöka lösa detta till nästa läsår.Programledarens kommentarerKursen har fått många positiva kommentarer och upplevs som angelägen för utbildningen. Laborationerna upplevdes som mycket bra och bidrog starkt till ökad förståelse. På mötet diskuterades möjliga förbättringar. Bland annat så upplevde flera att det var väldigt mycket att hålla reda på i början av kursen. En tydligare koppling mellan olika begrepp och ekvationer i början av kursen skulle kunna öka förståelsen. Även tydligare kopplingar till faktiska tillämpningar var önskade.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+44,+55,Digital kommunikation,69%,7.5,65,+43,+33,+16,12/13
18,+61,FMA420,KommentarerStudierådets kommentarerFöreläsaren var mycket uppskattad. Han gav alltid ett glatt intryck och var noga med att hålla en god dialog med studenterna under föreläsningarna. Boken skulle kunna uppdateras och göra mer lätt förståelig.  Många upplevde tenta svårare än väntat.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerStudenterna upplever kursen som både intressant och angelägen. Föreläsaren fick många positiva kommentarer för sin pedagogik och för de exempel som gavs på föreläsningarna. Dessa gav stort bidrag till ökad förståelse för ämnet.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+35,+59,Linjär algebra,43%,6.0,30,+53,+35,-15,12/13
19,+51,EDA016,Studierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKommentarer har ej inkommet före utsatt tidCEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+4,+63,Programmeringsteknik,54%,7.5,39,+11,-17,+16,12/13
20,+17,ETS130,"KommentarerStudierådets kommentarerBra kurs överlag, mycket och bra material på hemsidan, det fanns alla möjligheter att läsa i förväg och ta med förutskriven Powerpoint till föreläsningarna.Trevlig konferens som avslutning.Kurslärarens kommentererKursen fungerar fortsatt väl och resultatet är gott. Jag ska titta närmare på labbmanualerna speciellt avseende förberedelseuppgifter. Jag ska också försöka vara mer närvarande på labbarna.Programledarens kommentarerKursen upplevs som mycket angelägen för utbildningen och den har fått många positiva kommentarer. På mötet diskuterades möjliga förbättringar.CEQ-enkäten fylldes iDenna uppgift har ej fyllts i.",+41,+83,Kommunikationssystem,88%,7.5,43,+72,+43,+28,12/13
21,+42,ETSF05,KommentarerStudierådets kommentarerTrots hög arbetsbelastning är eleverna positiva till kursen och hade god möjlighet att ta till sig av kursens innehåll.Det ska även poängteras att orsakerna till arbetsbelastningen var ett av flera alternativ till examination.Kurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKursen upplevs som mycket angelägen för utbildningen. Den fick också många positiva kommentarer på mötet. Arbetsbelastningen upplevdes om hög och det var svårt att hitta vad detta specifikt berodde på. Quizzen togs upp som en möjlig förklaring. Samtidigt var denna del mycket uppskattad.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+23,+82,Internetprotokoll,67%,9.0,36,+35,+18,-28,12/13
22,+55,FMA430,Studierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerVi kan konstatera att studenterna inte var lika nöjda med kursen som föregående år. På mötet diskuterades orsaker till detta och vad som kan förbättras. En faktor som kan ha påverkat är att tentan upplevdes som svårare än extentor. Tempot på föreläsningarna upplevdes också högt. Ett önskemål från studenterna var att inkludera exempel som är mer riktade till de specifika programmen.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+11,+18,Flerdimensionell analys,26%,6.0,35,-18,-36,-24,12/13
23,+63,FMS012,"Studierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererVi är i stort sett nöjda med årets kursomgång och efter omtentan i januari har ca 90% av de registrerade slutfört kursen. Tyvärr var föreläsningarna i lp2 schemalagda 15-17 i Kårhusets Hörsal - föreläsningar sent på dagen i en olämplig lokal är inte så lyckat. Många var positiva till övningar och laborationer, vi eftersträvar att få studenterna ännu mer aktiva på dessa moment.Programledarens kommentarerKommentarer har ej inkommet före utsatt tidCEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+8,+50,"Matematisk statistik, allmän kurs",65%,9.0,20,+40,-11,+13,12/13
24,+50,FRT010,Det är roligt att kommentarerna genomgåënde är positiva. Ett problem verkar vara att deltagarantalet varierar kraftigt mellan de olika övningstillfällena. Detta beror framför allt på schemat. Det vi kan göra från institutionen är att under kursens gång informera bättre om hur beläggningen ser ut. Det finns också önskemål om någon form av seminarieverksamhet. Vi ska fundera på om detta är en bra ide.Programledarens kommentarerKursen verkar ha fungerat bra och föreläsaren fick flera positiva kommentar. Även föreläsningsanteckningarna var mycket uppskattade. De schemalagda övningarna hade stor varians i antalet som besökte dem. Några övningar var överfulla medan andra var nästan tomma.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,+23,+30,"Reglerteknik, allmän kurs",61%,7.5,36,+50,+27,0,12/13
25,+32,TEK210,KommentarerStudierådets kommentarerKommentarer har ej inkommit före utsatt tidKurslärarens kommentererKommentarer har ej inkommet före utsatt tidProgramledarens kommentarerKommentarer har ej inkommet före utsatt tidCEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.,-5,+38,Kognition,92%,4.5,37,-9,-4,+20,12/13
26,+49,EDAA01,"Studierådets kommentarerFöreläsningarna var bra och föreläsaren var bra på att förmedla sin kunskap. Att man alltid kunde gå och fråga om hjälp var värdefullt och uppskattat.Laborationshandledningarna bör förtydligas, ibland är det svårt att förstå vad som menas.Kurslärarens kommentererDet är glädjande att så många är nöjda med kursen och finner den relevant för sin utbildning.Kursen skiljer sig från grundkurserna genom att den förutom programmering innehåller en hel del teori. Laborationerna och inlämningsuppgiften ger träning i att skriva program. Övningarna är ett viktigt komplement och innehåller både programmerings- och  teoriuppgifter. Studenternas deltagande i undervisningen har varit bra, även om närvaron på övningarna kunde varit bättre.Vårens kursomgång går under en läsperiod. Det innebär att studenterna har ca 25 timmar/vecka att lägga på kursen. Sista läsveckan upplevs som tung. Men man kan börja med inlämningsuppgiften i läsvecka 4, 5 eller 6 beroende på vilken variant av inlämningsuppgiften man valt. Det finns alltså möjlighet att själv utjämna arbetsbelastningen under läsperioden.Inför nästa kursomgång planerar vi att se över övningsuppgifterna. Bland annat ska vissa  övningsuppgifter anpassas så att de lättare kan lösas på dator.Programledarens kommentarerKursen upplevs av studenterna som mycket angelägen för utbildningen. Både föreläsare och kursen som helhet fick många positiva kommentarer. På CEQ-mötet diskuterades även förslag på eventuella förbättringsåtgärder.CEQ-enkäten fylldes iWebbenkäter har använts på denna kurs.",+9,+73,Programmeringsteknik - fördjupningskurs,58%,7.5,31,+45,+13,-3,12/13
